User Name,Reviews,Date
Catherine ROCHE,"de très bons produits et parfois certains nettement moins bien en qualité. Mais compte tenu des prix cela me semble normal. Temps de livraison respecté. Des emballages très résistants. Par contre je n'arrive pas à comprendre les systèmes de promotion tels que les remboursements, ou les pourcentages de réduction. ce n'est pas simple, pas assez visuel et pas intuitif sur le site. Globalement satisfaite après 3 livraisons de produits.",18 mai 2024
inco gnito,"n'écoutez pas les critiques infondées. tout ce qu'on peut réprocher à cette appli peut aussi être reproché aux autres concurrents. tout ce que je sais c'est que temu augmente VRAIMENT mon pouvoir d'achat. et j'y trouve ce que je ne trouve pas ailleurs. les notifications sont certes envahissantes mais on peut les paramétrer. bref, excellent. appli indispensable en ces temps d'inflation",19 mai 2024
Martin Vanhee,"Beaucoup d'offres donc les prix sont très compétitifs et je n'ai jamais eu de souci avec la livraison. La livraison est relativement rapide, toujours sous 11 jours. C'est un de leurs principaux critères et qui est respecté car je n'ai jamais eu de retard sur 75 commandes et aucun produit endommagé ou défectueux. Pour l'instant, pour moi, la qualité est à la hauteur du prix, donc je le recommande. Voilà 🙂😉",18 mai 2024
Jordan Augay,"Livraison rapide et produits de bonnes factures dans l'ensemble. En qualité de créatif, cela me permet comme jamais de pouvoir m'équiper à moindre frais. Au vu du coup de la vie actuelle, Temu représente un réel avantage pour mon pouvoir d'achat. Côté interface, l'expérience utilisateur est simple et incroyablement bien ficelée. Tout semble pensé et automatisé pour répondre aux exigences du consommateur. Vous pouvez y aller les yeux fermés !",26 avril 2024
Nico Kazu,"Danger ! Scandaleux de voir qu'ils ne précisent pas tout ce que comprends leur offres dès le début, quand tu fais une offre fais la vraiment, la cache pas sous des dizaines de conditions d'achats supplémentaires surtout pour des objets de qualité très basse,et ça c'est sans parler de la récupération de toutes nos données (voix,image et plusieurs autres) pour 100€ de réductions sur d'autres objets qui ne vaudront jamais une vie qu'il compte relancer plus tard selon leur annonce !!!",29 avril 2024
Anick Lacombe,"Positif : prix incroyablement bas, qualité excellente. Certains produits identiques au concurrent Am... à moitié prix, voire moins. Livraison soignée (gratuite à partir de 10 euros d'achat) et assez rapide. Jamais aucun problème et 5€ remboursés en cas de retard. Retours très faciles. Négatif : beaucoup de plastique et incitation aux achats compulsifs.",24 avril 2024
Thomas Véniard,"Même aux prix ridiculement faible des articles proposés, vous n'en aurez pas pour votre argent. Même ce que vous pouvez trouver de cheap en magasin discount est d'une qualité incroyable, par rapport à ce que vous propose ce site. On rentre dans le cheap ""chinois"", un nouvel univers. La plupart des articles vendus sont de tellement mauvaise qualité qu'ils sont inutilisables.",14 mai 2024
Emmanuel DUBOIS,Attention aux dimensions des articles qu'il faut bien vérifier avant de commander un article minuscule. Politique publicitaire très et trop agressive avec des notifications et des envois de mails publicitaires incessants et plusieurs fois par jour. Les tarifs sont attractifs (pour l'instant) mais j'en suis au point de penser bloquer les mails et désinstaller l'application pour retrouver un semblant de paix quotidienne.,7 avril 2024
Laurie LAD,"IMPOSER 15€ d'achats minimum, c'est BEAUCOUP TROP !!! 😡👎😡 Articles très variés, prix intéressants. IL N'EST PAS NORMAL DE NE PAS OBTENIR UN AJUSTEMENT DE PRIX SUR SON COMPTE BANCAIRE MAIS EN SOLDE TEMU!😡 Mais très mauvaise gestion service clients!! Quand les articles sont abîmés et qu'on le montre en photos, il faut renvoyer pour être remboursé, Aucune logique là dedans vu que ça va à la poubelle!!😒 Wish est bien plus compréhensif et rembourse SANS retour!!😳",1 mai 2024
Jean-Bernard Mylord,"L'envoi ne correspond pas à l'achat. Exemple : achat d'une boîte de lames à raser et réception d'une seule lame. De plus l'emballage général qui est un simple plastique fait que tout ce qui n'est pas solide est déformé. Les durées d'envoi sont trop importantes. En cas de problèmes, il n'y a pas la possibilité d'appeler téléphoniquement le service après vente.",15 avril 2024
Christine Toussaint,"Je ne comprends pas, on me donne un coupon de 200$, puis je choisi mes articles pour pouvoir payer ensuite le total de mes articles étaient inférieur à 200$ ( 198.75 $ ). Maintenant que j'ai fini de choisir mes articles et de savoir les prix, je décide d'utiliser mon coupon de 200$, mais quand j'essaie ça marche pas ils me demandent ma carte mastercard mais je n'ai pas besoin de payer donc pourquoi ils veulent ma carte, d'après moi le coupon marche pas et ils allaient me mettre dans le piège 😡",20 mai 2024
Lauriane Lecarpentier,"Comment cette appli peut encore être notée 4,7⭐ au vu de tous les problèmes que celle-ci engendre ? Esclavagisme moderne, produits de qualité médiocre (et parfois même non-conformes aux lois européennes, puisque venant de Chine), marketing douteux visant à rendre les utilisateurs accros et à dépenser leur argent sans compter... Sans parler de l'impact environnemental désastreux que tout cela engendre. Préférez des plateformes comme Vinted ou Leboncoin !",20 mai 2024
Yve Ergon,"Quand vous faites la publicité sur youtube, et quand je clique sur le produit, il me demande d'ouvrir l'application, j'appuie sur ouvrir et commander depuis l'application, Mais, quand l'application s'ouvre, je perds complètement l'objet qui m'intéresse. Impossible de retrouver le produit de la publicité sur l'application.",17 mai 2024
Ghislaine Dussel,"Evidemment des mauvaises critiques de certains , mais en ce qui me concerne , depuis 1 an que j'achète sur Temu , il n'y a jamais eu de fraude ou vol de leur part ! Site très sérieux , qui rembourse si on est pas satisfait , sur toutes les commandes que j'ai faites , j'ai dû renvoyer( sans frais ) 4ou5 articles toujours remboursés! Jamais de problème , énormément de choix et surtout de l'ingéniosité sur certains articles que je ne trouve pas chez moi . Donc , bonne continuation a TEMU pour tout",1 mai 2024
Annick Bouillon,"Cela fait plusieurs fois que je passe une commande et je n'ai jamais eu de problèmes ni avec les livraisons ni la marchandise. Je n'ai pas encore dû effectuer de retour. Tout était conforme tant en taille qu'en qualité en regardant bien sûr le rapport qualité prix. 😊 Essayez, il faut savoir prendre son temps, et acheter les produits au moment où ils sont les plus bas. 👍❤️",9 mai 2024
Violaine Guiliana,"réception des colis plutôt rapide. ne font pas d'histoire en cas de demande de remboursement (en moins de 2mn). bonne description des articles. mais impossible d'envoyer une photo quand on laisse un avis, c'est dommage pour les futurs acheteurs",11 mai 2024
Tempête Flash,"Ce n' ai vraiment pas cher, mais nous pouvons recevoir parfois des objets de mauvaise qualité. De plus, la livraison est très lente, si vous avez envie de quelque chose rapidement, abandonné. Mais il y a beaucoup de choix, à des prix plus qu'abordable. Je recommande quand même.",13 mai 2024
angst benoit,"vraiment au top pour les petits budgets, les curiosité qu'on y trouve et qualité vraiment pas mal mais il faut bien choisir ses produits et bien faire le tri de plus la livraison est très rapide quant on sait que ça viens de chine et les frais de port son généralement gratuit pour 10€ d'achat TEMU vous êtes au top!!!!",19 mai 2024
Herve Loubere,Fidèle client d Aliexpress j ai été énormément déçu depuis qu ils utilisent les services particulièrement défaillant de CAINIAO France. J ai donc utilisé l interface de TEMU et j ai été très agréablement surpris par le niveau de qualité proposé au niveau des produits ainsi que sur la qualité des services de livraison. Bravo TEMU vous êtes génial 🙂,3 mai 2024
Cathia Lizé,"Bon produit. La qualité est quand même bonne pour des prix très bas. Il faut quand même bien lire les commentaires que les gens ont laissés. Et la note. Il y a eu quelques ratés avec des produits endommagés. Cependant Temu a proposé un remboursement sans renvoi. C'est très convenable. Pensons quand même à la planète et évitons d'acheter si on en a pas besoin ou si on peut trouver en magasin. Concernant l'harcélement abusif de Temu avec les emails de relance, de jeux, de remboursement.C'est TROP!",16 mai 2024
